GeoName,New_MEFI_Score,MEFI_Score,Govt_Consumption,Govt_Xfers_Subsidies,Govt_Retirement, Income_Payroll_Tax,Sales_Tax,Property_Tax,Minimum_Wage_Over_Income,Percent_Govt_Employment,Percent_Private_Union_Density,Minimum_Wage_Over_10%_Income
"Carson City, NV MSA",7.743518166,7.596673824,10,8.960035938,4.225186318,10,2.73208693,9.871384065,7.924309878,9.957607732,4.699453552,6.02105
"Casper, WY MSA",6.611406098,6.780836961,3.89895594,9.323579167,3.989566757,3.005356753,6.212246934,9.364662427,9.916813126,8.212526406,7.103825137,5.57895
"Cedar Rapids, IA MSA",6.734807409,6.84983633,7.24910787,8.736489826,4.576831932,3.581123879,5.238201952,7.548976169,8.89498826,8.00859943,7.81420765,6.77895
"Chambersburg-Waynesboro, PA MSA",7.099270748,6.86159459,8.088371022,8.636296104,3.598335759,3.839026581,6.284932693,8.400025549,8.214600584,9.610795808,5.081967213,7.22105
"Champaign--Urbana, IL MSA",6.782258776,6.411556063,8.598772114,9.386713972,2.376577761,4.709475865,5.906520115,7.309881444,7.417051105,8.556389239,3.442622951,6.77895
"Charleston, WV MSA",5.919438357,5.784583917,5.562601578,6.980263254,2.637306711,3.853863166,4.457958942,8.256471428,6.954588499,7.729786371,5.628415301,6.84211
"Charleston-North Charleston, SC MSA",7.289885475,7.505090154,8.034652976,8.042998774,4.670980764,5.169271117,6.21442905,7.731114623,8.767463795,8.914900282,10,8.06316
"Charlotte-Concord-Gastonia, NC-SC MSA",7.041293112,7.281839565,6.432164986,8.477313175,5.728652013,3.805593276,5.762260342,8.584030121,8.912864553,7.984549021,9.849128599,7.68421
"Charlottesville, VA MSA",7.761250168,8.071121385,8.864869318,9.238413782,6.68547226,3.249265533,7.995428606,8.688928072,9.775204387,9.016827447,9.12568306,6.33684
"Chattanooga, TN-GA MSA",7.439364488,7.523485834,5.610856452,8.841168666,6.226039905,7.341914247,5.188326798,8.816597701,8.208970534,8.69935346,8.778144745,8.02105
"Cheyenne, WY MSA",5.925247426,6.043216301,0,9.323579167,3.989566757,3.005356753,5.95514458,9.201473216,8.835232068,6.97476903,7.103825137,6.04211
"Chicago-Naperville-Elgin, IL-IN-WI MSA",6.306980142,6.03390081,8.148688688,9.324520237,0,4.704716371,4.935246858,6.828234927,7.650218075,8.960669802,3.752812334,6.21053
"Chico, CA MSA",5.522802689,5.383730053,5.986434396,6.993545486,2.89933626,0.752799123,6.553523602,8.791880238,5.517884763,7.788767703,3.169398907,4.42105
"Cincinnati-Middleton, OH-KY-IN MSA",6.549410376,6.348104514,7.980271535,8.840527133,0,3.930474746,5.050850629,8.56057901,8.617395869,8.975120774,5.177720931,6.98947
"Clarksville, TN-KY MSA",7.481891753,7.40886688,7.394480262,8.476665658,6.024350364,6.749102941,4.34797703,9.252240739,7.624676234,8.941216756,7.869091932,8.52632
"Cleveland, TN MSA",7.891662438,7.905505789,7.518573195,8.677341312,7.802476513,8.517521311,4.6834288,9.367293743,7.110919369,8.947407697,8.524590164,8.4
"Cleveland-Elyria, OH MSA",6.153415405,5.92046874,6.831779717,9.072494286,0,3.608027073,4.402126086,7.822654211,8.442821394,8.29557272,4.808743169,6.90526
"Coeur d'Alene, ID MSA",6.863252336,7.008933479,5.938607641,9.450873589,5.179787737,4.078989746,5.994443311,8.596375372,8.088437109,6.736493363,9.016393443,7.70526
"College Station-Bryan, TX MSA",7.643581337,7.715801962,7.051240491,9.346550353,6.202669868,10,4.177398428,7.158677297,7.345446218,9.089196748,9.071038251,8.42105
"Colorado Springs, CO MSA",7.659877939,7.695630344,10,9.291771386,4.389350346,4.625387801,8.372232367,10,6.977576086,9.156267677,6.448087432,6.12632
"Columbia, MO MSA",7.029114746,6.939395001,4.982070507,9.42050635,4.256339869,4.708404549,5.715694695,9.122186769,8.081708609,9.227752949,6.93989071,7.74737
"Columbia, SC MSA",7.040837741,7.253703238,6.342611579,8.042998774,4.670980764,5.169271117,7.156260749,7.580192294,8.157438864,8.163575002,10,8.08421
"Columbus, GA-AL MSA",7.347125699,7.378605663,8.144835072,8.746579618,4.88028099,4.410081231,6.310267428,8.891135036,7.58207844,8.337820842,9.104372312,8.82105
"Columbus, IN MSA",7.043197772,7.070935604,4.430787861,8.556716223,7.44865154,5.126978423,5.122495013,9.32252316,8.663194667,8.191117269,6.775956284,6.52632
"Columbus, OH MSA",6.216173339,6.01363603,7.116960987,9.037184621,0,3.218008051,4.50244784,8.042475243,8.202079403,9.194824957,4.808743169,6.63158
"Corpus Christi, TX MSA",7.629801572,7.72541401,7.558830953,9.346550353,5.954134734,10,4.043240799,7.221017538,8.039539017,8.294374442,9.071038251,8.21053
"Corvallis, OR MSA",6.053625142,5.981391735,7.48925269,9.353172995,0.87209427,0,9.732104236,7.824717947,6.105859552,8.958056167,3.49726776,4.14737
"Crestview-Fort Walton Beach-Destin, FL MSA",8.153389188,8.301959155,8.942426893,9.608384615,7.39454233,9.470305475,4.54117677,8.439924291,8.32536492,9.416272131,8.579234973,7.24211
"Cumberland, MD-WV MSA",6.44508432,6.318743606,6.445736917,8.168925358,5.542202312,2.003151835,6.325351332,8.868466569,5.991206434,7.776507598,5.747144101,6.88421
"Dallas-Fort Worth-Arlington, TX MSA",7.891691859,8.092567454,8.559602406,9.345664564,5.522735214,10,4.240488856,7.625864421,9.281466042,9.186247335,9.071038251,7.26316
"Dalton, GA MSA",7.080129594,7.218243549,6.446236208,9.277564522,5.415963671,4.210385594,5.876676476,9.059453487,6.68384244,8.540517628,9.453551913,8.21053
"Danville, IL MSA",6.554325638,6.162570293,7.707245393,9.386713972,2.062314341,4.709475865,6.450475777,8.164378824,6.219108624,7.320796892,3.442622951,6.96842
"Daphne-Fairhope-Foley, AL MSA",6.880625569,6.763180773,6.74554161,6.452286842,4.615702197,5.272931105,4.566549993,9.607190948,8.354084015,7.658711829,7.595628415,8.65263
"Davenport-Moline-Rock Island, IA-IL MSA",6.779390555,6.58859202,7.854390524,9.092652608,3.176002629,4.289356609,5.737514249,7.46351311,8.194874021,8.069369144,5.419655285,7.13684
"Dayton, OH MSA",6.264225658,6.014904724,7.287097167,9.07280935,0,3.999801506,4.717005314,8.037938052,7.752509928,8.458238027,4.808743169,7.05263
"Decatur, AL MSA",6.62504358,6.507598785,5.963469779,6.452286842,4.615702197,5.272931105,4.389377583,9.339274419,7.096763819,7.842954902,7.595628415,8.65263
"Decatur, IL MSA",6.782231083,6.390475738,8.096937044,9.386713972,1.809951892,4.709475865,5.94013275,7.89787303,7.564774953,8.665799184,3.442622951,6.96842
"Deltona-Daytona Beach-Ormond Beach, FL MSA",7.799789671,7.915611101,7.76706122,9.608384615,6.855411822,9.470305475,4.578701868,8.190471185,7.172838356,9.018090397,8.579234973,7.53684
"Denver-Aurora-Lakewood, CO MSA",7.515614689,7.647273527,10,9.238053212,4.163877358,4.625387801,6.997919833,9.744526102,8.550986445,9.056623557,6.448087432,5.26316
"Des Moines-West Des Moines, IA MSA",6.792585685,6.987146769,7.327472474,8.736467789,4.540880548,3.743224791,5.679528817,7.300836143,9.166123059,8.57557965,7.81420765,6.06316
"Detroit-Warren-Dearborn, MI MSA",6.79553518,6.41647277,7.426997085,9.095481873,2.417225092,4.362745086,6.093641875,8.179645347,7.769300941,9.288463533,3.114754098,6.52632
"Dothan, AL MSA",6.386366029,6.245529421,3.915162401,6.452286842,4.615702197,5.272931105,4.294795229,9.982066516,7.549363415,6.531828665,7.595628415,8.86316
"Dover, DE MSA",6.548082584,6.434728159,4.655544795,7.660745512,5.22493438,3.319863891,9.387637078,6.888979879,6.862366342,8.174776639,5.737704918,6.75789
"Dubuque, IA MSA",6.953533398,6.996047698,7.791045481,8.736489826,4.576831932,3.71599151,5.283429027,7.653109742,8.522279542,8.871044573,7.81420765,7.43158
